Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
1G4isv_Fylg,Coldplay - Paradise (Official Video),Coldplay,2011-10-19T02:42:54Z,Coldplay - Paradise is taken from the album Mylo Xyloto released in 2011 Subscribe for more content from Coldplay: ...,[],UCDPM_n1atn2ijUwHd0NNRQw,1860866917,9223229,0,356034,{},[],{}
lxcpH6kvnmg,Marília Mendonça &amp; Maiara e Maraisa - Coração Bandido (Official Music Video),Marília Mendonça,2020-07-14T14:00:12Z,"INSCREVA-SE NO CANAL: http://bit.ly/MARILIAMENDONCAYOUTUBE Confira o álbum completo ""Decretos Reais"" que está ...",[],UCwfEOn0O1DWcyTgzVVu28ig,540661026,2209054,0,37668,{},[],{}
59Q_lhgGANc,Jain - Makeba (Official Video),JAINVEVO,2016-11-30T08:00:00Z,"Official Video for ""The Fool"" by Jain - https://JAIN.lnk.to/THEFOOLMERCH “The fool, this tightrope walker who walks towards his ...",[],UClH4iEV8a-0x2K889h7XWvg,288785575,3023174,0,56561,{},[],{}
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,2017-01-30T10:57:50Z,"The official music video for Ed Sheeran - Shape Of You Subtract, the new album, out 05.05.2023. Pre-order: es.lnk.to/subtract ...",[],UC0C-w0YjGpqDXGB8IHb662A,6256826073,32960236,0,1161237,{},[],{}
OMWJbEnzlxU,Compondo c o filtro de emojis! Gostei bastante kkk c os lindos @lunadimusic @tinnreal 🥰 #compositora #canto,Ariah,2022-08-11T14:08:31Z,,[],UC1UaqxUGarqFTigOKRRfoPA,34511325,1779712,0,12876,{},[],{}
2S24-y0Ij3Y,BLACKPINK - &#39;Kill This Love&#39; M/V,BLACKPINK,2019-04-04T14:58:45Z,BLACKPINK - Kill This Love 천사 같은 Hi 끝엔 악마 같은 Bye 매번 미칠듯한 High 뒤엔 뱉어야 하는 Price 이건 답이 없는 Test 매번 ...,[],UCOmHUn--16B90oW2L6FRR3A,1957313331,25452214,0,2485599,{},[],{}
UrIiLvg58SY,Extreme - More Than Words (Official Music Video),ExtremeVEVO,2009-11-22T10:18:31Z,"REMASTERED IN HD! Official Music Video for ""More Than Words"" performed by Extreme. Listen to more Classic Easy Rock ...",[],UCvsOSGkyFm-U2k2wSnLBAGg,744082133,3683217,0,84231,{},[],{}
vcS7MXjupgk,Ana Castela ft. Léo e Raphael - As Menina da Pecuária (Clipe Oficial),Ana Castela,2021-12-18T14:00:11Z,"Ouça na sua plataforma favorita: https://ffm.to/asmeninadapecuaria Direção Executiva: Rodolfo Alessi, Raphael Soares Direção ...",[],UCRD1ypvmK7e_05Rtu9zHOfQ,98133949,503714,0,5739,{},[],{}
kcYS_cUwr-8,Farruko - Pepas (Audio),FARRUKOVEVO,2021-06-24T04:00:26Z,Farruko - Pepas (Cover Audio) Música: Apple Music: https://Farruko.lnk.to/Pepas/applemusic Spotify: ...,[],UC46TVKqBkiTT85ddkJDdK3w,414511228,3251592,0,65752,{},[],{}
r92TO57gBqI,MÚSICA DO FILME ACAMPAMENTO DE FÉRIAS 3 - ISSO É ROXTEEN / ÚLTIMO SHOW MENINOS VS MENINAS,LUCCAS NETO - LUCCAS TOON,2021-01-15T22:00:11Z,FILME ACAMPAMENTO DE FÉRIAS 3: ...,[],UC_gV70G_Y51LTa3qhu8KiEA,9050484,115765,0,0,{},[],{}
sWhy1VcvvgY,Ana Vilela - Trem-Bala - (Clipe Oficial),Ana Vilela,2017-07-03T17:53:33Z,Trem - Bala Vídeo Clipe Oficial! Ouça Trem Bala nas Plataformas Digitais: https://slap.lnk.to/trembala Ouça em todas as ...,[],UCLYHckv6c8Eky4Z02B6v34w,256508348,2587087,0,76520,{},[],{}
Wu-HUG7ORt8,Insanou - Renascer (Official Music Video),Insanou,2021-11-18T19:02:00Z,Todos os direitos reservados! Insanou - Renascer Spotify: ...,[],UC81qZMkuX_kaJytab4wKqng,53912725,533119,0,11160,{},[],{}
eRzB9u-2Pcg,Alabanzas Para Expulsar Todo Mal De Tu Vida😇Música católica De La Mañana Que Trae Paz Y Tranquilidad,Adoración Católica Música,2024-05-10T04:13:15Z,Alabanzas Para Expulsar Todo Mal De Tu Vida  Música católica De La Mañana Que Trae Paz Y Tranquilidad --------- Hola a ...,[],UCwxumuSAvEF1TCab1YSbm-A,8591,166,0,0,{},[],{}
mRFVUuBlpHM,Fresno - Uma Música,FresnoVEVO,2009-06-26T19:20:19Z,Music video by Fresno performing Uma Música. (C) 2008 Universal Music Ltda.,[],UCXMLR9S2G2MpKnlPHjjfHgg,5982707,26262,0,2066,{},[],{}
bqao21cZ5nM,Samba Do Brasil - Ey Macalena,Traditional World Music,2008-01-10T16:44:09Z,"Sérgio Mendes' track ""Magalenha,"" from the 1992 album ""Brasileiro."" More from Sérgio Mendes: ...",[],UCENjIeHAJ4-VGPW8psKdr_w,124046383,847491,0,23816,{},[],{}
QLz9VaksClg,"Tainy, J. Balvin - Agua (Music From &quot;Sponge On The Run&quot; Movie)",jbalvinVEVO,2020-07-15T21:00:11Z,"Listen to ""Agua (Music From ""Sponge On The Run"" Movie)"": https://smarturl.it/AguaSpongebob Follow J Balvin: Instagram: ...",[],UCrHL_BF5lHyK43BxLU8-vBQ,982252450,8081725,0,259554,{},[],{}
QvYSckKSL5g,Tracy Chapman - Baby Can I Hold You (Live),ShoutFactoryVEVO,2020-04-11T01:02:01Z,"Tracy Chapman performs ""Baby Can I Hold You"" http://vevo.ly/n7svzZ.",[],UC-oYSv96tFifyD-Lijqs5mw,157331133,1019364,0,21279,{},[],{}
jvipPYFebWc,Lindsey Stirling - Roundtable Rival (Official Music Video),Lindsey Stirling,2014-10-20T16:59:31Z,"Pre-Order my new album Duality coming out 6/14! https://found.ee/LS_Duality Head here for tour dates, tickets, and VIP upgrades: ...",[],UCyC_4jvPzLiSkJkLIkA7B8g,399853280,4278257,0,70136,{},[],{}
F_xhGwd_cOg,8 músicas que eu e você não aguentamos mais escutar,Felipe Somma,2023-07-30T21:33:16Z,,[],UC1wpNPs6o3LlL-E-Gc2NFVw,5832474,393092,0,14087,{},[],{}
smsxXdXTsU8,Trem da Alegria - Yasmin Verissimo - Música Gospel Infantil 2,Yasmin Verissimo,2018-05-17T14:13:07Z,composição: @SerginhoVilem / Yasmin Verissimo Trem da Alegria letra Eu não quero ficar nessa tristeza então vamos mandar ...,[],UCuw1YgMJO07vY24o0zfGJ_A,941661154,2795398,0,0,{},[],{}
gQlMMD8auMs,BLACKPINK - ‘Pink Venom’ M/V,BLACKPINK,2022-08-19T04:00:13Z,BLACKPINK - 'Pink Venom' Kick in the door Waving the coco 팝콘이나 챙겨 껴들 생각 말고 I talk that talk Runways I walk walk 눈 ...,[],UCOmHUn--16B90oW2L6FRR3A,844454803,16547810,0,3520319,{},[],{}
